OpportunityId,PricebookEntryId,Quantity,TotalPrice
Opportunity for Martinez986,1200,699,768900
Opportunity for Duncan1485,100,523,47070
Opportunity for Haynes693,1200,1719,1890900
Opportunity for Thornton637,1400,897,1121250
Opportunity for Berry1610,600,1795,718000
Opportunity for Hogan11,150,1131,135720
Opportunity for Mathis783,2000,282,451200
Opportunity for Baker1644,600,1026,410400
Opportunity for Beck976,600,388,155200
Opportunity for Moran1815,150,1011,121320
Opportunity for Henry6,1200,1112,1223200
Opportunity for Hunter534,600,198,79200
Opportunity for Figueroa642,800,1169,701400
Opportunity for Logan51,1600,1495,2093000
Opportunity for Ingram356,1600,605,847000
Opportunity for Norton1479,1400,807,1008750
Opportunity for Lowe1494,50,319,12760
Opportunity for Mullins1371,1400,1538,1922500
Opportunity for Watson358,150,979,117480
Opportunity for Burton1994,50,1518,60720
Opportunity for Gill1599,450,1864,419400
Opportunity for Mendoza431,1000,935,794750
Opportunity for Cox29,150,1757,210840
Opportunity for Guzman1793,450,608,136800
Opportunity for Barber186,50,1602,64080
Opportunity for Glover1542,600,1492,596800
Opportunity for Cain216,300,1941,388200
Opportunity for Higgins835,550,1473,736500
Opportunity for Wade1560,50,1911,76440
Opportunity for Hall1835,100,1465,131850
Opportunity for Harper1267,500,1038,519000
Opportunity for Patton185,450,1279,287775
Opportunity for Davidson1348,2000,252,403200
Opportunity for Underwood1745,450,93,20925
Opportunity for Quinn1489,100,746,67140
Opportunity for Alexander278,50,474,18960
Opportunity for Wong939,150,455,54600
Opportunity for Bowers273,100,2000,180000
Opportunity for Farmer417,100,129,11610
Opportunity for Hodges1437,1400,940,1175000
Opportunity for Chandler1816,150,1655,198600
Opportunity for Patterson1939,550,1239,619500
Opportunity for Gonzales549,2000,702,1123200
Opportunity for Hamilton758,1200,193,212300
Opportunity for Miller300,650,351,175500
Opportunity for Harrington1580,150,851,102120
Opportunity for Burgess1578,1600,202,282800
Opportunity for Phillips1742,550,52,26000
Opportunity for Rios1882,450,40,9000
Opportunity for Singleton831,150,1070,128400
Opportunity for Phelps967,1000,1252,1064200
Opportunity for Fox239,150,394,47280
Opportunity for Estrada781,800,1691,1014600
Opportunity for Joseph1936,500,1780,890000
Opportunity for Fitzgerald131,60,76,3800
Opportunity for Bush1388,800,108,64800
Opportunity for Sandoval1949,550,1114,557000
Opportunity for Wilkins391,100,1310,117900
Opportunity for Gray1275,1600,1534,2147600
Opportunity for Palmer380,500,1028,514000
Opportunity for Luna711,60,1638,81900
Opportunity for Love1181,300,1010,202000
Opportunity for Bass1137,550,228,114000
Opportunity for Castro469,100,998,89820
Opportunity for Brock1144,300,814,162800
Opportunity for Grant1947,300,1264,252800
Opportunity for Barker446,1400,645,806250
Opportunity for Wilkerson1561,150,81,9720
Opportunity for Rogers1242,450,1895,426375
Opportunity for Jimenez961,650,509,254500
Opportunity for Robinson1397,50,840,33600
Opportunity for Bowman1266,1600,36,50400
Opportunity for Foster674,1200,1644,1808400
Opportunity for Grant1751,1200,1772,1949200
Opportunity for Craig710,60,755,37750
Opportunity for Salazar1398,2000,347,555200
Opportunity for Lambert1023,1600,1325,1855000
Opportunity for Little142,550,382,191000
Opportunity for Nelson1089,800,441,264600
Opportunity for Floyd1903,50,965,38600
Opportunity for Lambert1958,1000,921,782850
Opportunity for Mendoza1637,800,666,399600
Opportunity for Cannon1937,550,614,307000
Opportunity for Johnston583,650,668,334000
Opportunity for Evans115,1600,814,1139600
Opportunity for Allison281,1000,1851,1573350
Opportunity for McCormick1685,50,779,31160
Opportunity for Santiago590,100,639,57510
Opportunity for Underwood1084,50,12,480
Opportunity for Barnes141,450,500,112500
Opportunity for Mills123,1400,1879,2348750
Opportunity for Robbins1333,100,1639,147510
Opportunity for Webb567,50,1626,65040
Opportunity for Barnes141,60,206,10300
Opportunity for Jackson1400,2000,627,1003200
Opportunity for Sanchez828,50,324,12960
Opportunity for Wilkerson1956,650,1799,899500
Opportunity for Bowers761,500,1368,684000
Opportunity for Alvarado1597,1600,1923,2692200
Opportunity for Fletcher438,60,961,48050
Opportunity for Paul763,1400,152,190000
Opportunity for Brown1230,450,102,22950
Opportunity for Brock631,50,1721,68840
Opportunity for Lynch922,1000,1294,1099900
Opportunity for Schultz736,300,1621,324200
Opportunity for Moss1820,1000,609,517650
Opportunity for McBride299,2000,118,188800
Opportunity for Flores1296,2000,775,1240000
Opportunity for Maldonado805,1200,1461,1607100
Opportunity for Nichols1511,100,1897,170730
Opportunity for Lamb1584,1200,687,755700
Opportunity for Singleton1620,1600,1880,2632000
Opportunity for Pope1093,450,931,209475
Opportunity for Mills871,450,1448,325800
Opportunity for Davidson1348,650,1291,645500
Opportunity for Wilkins1372,550,1847,923500
Opportunity for Ramirez563,2000,188,300800
Opportunity for Manning704,50,1770,70800
Opportunity for Howell1136,1600,705,987000
Opportunity for Walton1035,1200,387,425700
Opportunity for Marsh1634,800,1297,778200
Opportunity for Weber92,450,610,137250
Opportunity for Hill1696,150,1977,237240
Opportunity for Barker446,100,1141,102690
Opportunity for Sullivan800,450,650,146250
Opportunity for Jackson1662,600,1928,771200
Opportunity for Herrera285,150,1000,120000
Opportunity for Jordan1825,1400,1751,2188750
Opportunity for McBride299,300,1891,378200
Opportunity for Kelley1795,1200,1133,1246300
Opportunity for Edwards1283,300,1395,279000
Opportunity for Bennett786,1200,886,974600
Opportunity for Dennis1374,100,408,36720
Opportunity for Lynch352,60,1316,65800
Opportunity for Nunez1616,1600,387,541800
Opportunity for Lane1317,150,1991,238920
Opportunity for McCoy688,800,1963,1177800
Opportunity for Paul763,150,791,94920
Opportunity for Hall1835,1600,1435,2009000
Opportunity for Brock48,600,819,327600
Opportunity for Gomez846,150,1348,161760
Opportunity for Hamilton758,150,1295,155400
Opportunity for Joseph764,550,467,233500
Opportunity for Haynes738,1400,1663,2078750
Opportunity for Barber186,150,1369,164280
Opportunity for Weber92,450,556,125100
Opportunity for Higgins1229,1200,478,525800
Opportunity for Horton207,50,1675,67000
Opportunity for Gordon1919,1000,670,569500
Opportunity for Powell769,60,906,45300
Opportunity for Powell1643,150,589,70680
Opportunity for Sanders1761,50,1780,71200
Opportunity for Harvey1203,2000,892,1427200
Opportunity for Nunez399,600,1624,649600
Opportunity for Lloyd1812,1200,1717,1888700
Opportunity for Pierce304,2000,140,224000
Opportunity for Diaz177,150,857,102840
Opportunity for Diaz1351,1600,1700,2380000
Opportunity for Gardner1110,300,641,128200
Opportunity for Watkins1701,300,1072,214400
Opportunity for Thornton637,650,1443,721500
Opportunity for Flowers1940,500,1027,513500
Opportunity for Butler235,150,783,93960
Opportunity for Soto284,1600,598,837200
Opportunity for Foster1754,100,1529,137610
Opportunity for Gibson1999,1200,1346,1480600
Opportunity for Huff1886,1000,669,568650
Opportunity for Aguilar1908,800,1973,1183800
Opportunity for Rodgers132,150,1810,217200
Opportunity for Thomas1257,1400,816,1020000
Opportunity for Harris1133,800,716,429600
Opportunity for Medina118,100,1694,152460
Opportunity for Horton471,1000,605,514250
Opportunity for Vaughn1698,550,1136,568000
Opportunity for Chavez1656,550,1756,878000
Opportunity for Ramos435,50,42,1680
Opportunity for Myers1556,550,701,350500
Opportunity for Porter1965,100,1433,128970
Opportunity for Fletcher1758,2000,1059,1694400
Opportunity for Fletcher199,1600,78,109200
Opportunity for Jackson1400,1000,1286,1093100
Opportunity for Roy1801,1600,492,688800
Opportunity for Nguyen1657,100,1509,135810
Opportunity for Porter410,650,1064,532000
Opportunity for Hicks1818,1600,433,606200
Opportunity for Gonzalez528,1400,731,913750
Opportunity for Hines1550,100,915,82350
Opportunity for White404,1200,389,427900
Opportunity for Reed1483,800,1530,918000
Opportunity for Gordon852,500,1308,654000
Opportunity for Hill1448,60,1896,94800
Opportunity for Bishop1962,1400,173,216250
Opportunity for Strickland998,50,1851,74040
Opportunity for Carlson1808,600,1322,528800
Opportunity for Sanders1761,50,807,32280
Opportunity for Gibson1999,300,1654,330800
Opportunity for Adams1335,2000,153,244800
Opportunity for Swanson105,800,1792,1075200
Opportunity for Nichols171,550,1289,644500
Opportunity for Edwards146,100,991,89190
Opportunity for Carson1966,1400,1445,1806250
Opportunity for Flores1296,550,1586,793000
Opportunity for Wilson104,2000,536,857600
Opportunity for Morton591,60,646,32300
Opportunity for Jacobs1464,50,576,23040
Opportunity for Rodriquez958,450,1836,413100
Opportunity for Lamb346,1000,412,350200
Opportunity for Dean1735,1200,675,742500
Opportunity for Ryan857,1600,598,837200
Opportunity for Campbell1166,450,1337,300825
Opportunity for Allison251,500,628,314000
Opportunity for Herrera285,500,810,405000
Opportunity for Hughes1780,100,1347,121230
Opportunity for Ingram440,650,639,319500
Opportunity for Blake587,1600,1968,2755200
Opportunity for Christensen1429,1400,1116,1395000
Opportunity for Murray1311,1000,1083,920550
Opportunity for Maldonado1393,550,1210,605000
Opportunity for Cain204,2000,1879,3006400
Opportunity for Conner594,150,455,54600
Opportunity for Harmon1481,50,283,11320
Opportunity for Blake1819,60,1940,97000
Opportunity for Schneider73,450,1002,225450
Opportunity for Guzman1265,600,26,10400
Opportunity for Weber1216,450,1097,246825
Opportunity for Williamson906,1000,1301,1105850
Opportunity for Tran1669,600,1778,711200
Opportunity for Wong1071,100,72,6480
Opportunity for Horton1909,60,1435,71750
Opportunity for Walsh1003,450,948,213300
Opportunity for Richards1633,800,1813,1087800
Opportunity for Neal80,300,1819,363800
Opportunity for Henderson565,1400,408,510000
Opportunity for Reid319,500,1544,772000
Opportunity for Rose1564,450,1658,373050
Opportunity for Norman1354,150,1588,190560
Opportunity for Butler33,1600,1629,2280600
Opportunity for Buchanan1727,150,603,72360
Opportunity for Ingram270,800,1820,1092000
Opportunity for Porter1185,1600,1550,2170000
Opportunity for McDonald1503,1400,1256,1570000
Opportunity for Vega47,1400,1074,1342500
Opportunity for Chavez1002,150,1109,133080
Opportunity for Perkins665,1400,589,736250
Opportunity for Lee341,50,848,33920
Opportunity for Peters521,1000,1889,1605650
Opportunity for Bryant1748,500,1232,616000
Opportunity for Perez1411,800,1481,888600
Opportunity for Perry898,150,700,84000
Opportunity for Fleming1058,50,327,13080
Opportunity for Jackson1090,450,1573,353925
Opportunity for Daniel349,100,476,42840
Opportunity for Perez683,1000,736,625600
Opportunity for Caldwell1878,550,233,116500
Opportunity for Holland322,600,729,291600
Opportunity for Cain216,50,429,17160
Opportunity for Collins1770,500,1489,744500
Opportunity for Hale974,550,344,172000
Opportunity for Hampton886,550,807,403500
Opportunity for Sanders1345,600,1882,752800
Opportunity for Reid319,1600,184,257600
Opportunity for McKinney1548,800,52,31200
Opportunity for McGuire1441,1000,17,14450
Opportunity for Nunez1616,1200,1022,1124200
Opportunity for Hogan407,60,210,10500
Opportunity for Sims7,550,1425,712500
Opportunity for Chandler1816,450,561,126225
Opportunity for Mullins1934,300,1823,364600
Opportunity for Ballard77,650,1401,700500
Opportunity for Beck921,40,721,25235
Opportunity for Paul1992,150,1263,151560
Opportunity for Mathis1109,1400,1917,2396250
Opportunity for McCoy609,2000,169,270400
Opportunity for Gross444,1200,621,683100
Opportunity for Jackson1400,600,1449,579600
Opportunity for Olson1590,60,862,43100
Opportunity for Bridges1649,50,477,19080
Opportunity for McDaniel1646,300,1279,255800
Opportunity for Vega47,150,427,51240
Opportunity for Bryan1641,550,1026,513000
Opportunity for Campbell856,1000,709,602650
Opportunity for Chandler755,800,1961,1176600
Opportunity for Green1491,150,68,8160
Opportunity for Green1491,1000,1246,1059100
Opportunity for Singleton1321,550,1611,805500
Opportunity for Padilla247,150,318,38160
Opportunity for Coleman1399,500,1952,976000
Opportunity for Mathis1109,550,1243,621500
Opportunity for Brooks342,50,132,5280
Opportunity for Berry1610,550,592,296000
Opportunity for Carpenter176,1200,515,566500
Opportunity for Cole527,60,1276,63800
Opportunity for Berry1610,600,1144,457600
Opportunity for Mann753,2000,1903,3044800
Opportunity for McKenzie1054,150,1471,176520
Opportunity for Norman472,2000,1472,2355200
Opportunity for Saunders1546,600,1860,744000
Opportunity for Dawson434,1600,1299,1818600
Opportunity for Armstrong600,50,1016,40640
Opportunity for Bass1237,150,1877,225240
Opportunity for Hunter869,650,561,280500
Opportunity for Black1562,1600,467,653800
Opportunity for McCormick1712,150,1710,205200
Opportunity for Pittman483,50,1032,41280
Opportunity for Grant190,50,1587,63480
Opportunity for Clark1635,1400,1938,2422500
Opportunity for Williamson906,450,985,221625
Opportunity for Garcia128,150,270,32400
Opportunity for Perez1411,650,221,110500
Opportunity for Williams1724,60,1283,64150
Opportunity for Keller1431,1000,1723,1464550
Opportunity for Arnold1119,1200,1264,1390400
Opportunity for Wood1621,600,1401,560400
Opportunity for Baker1644,2000,920,1472000
Opportunity for Christensen166,600,1595,638000
Opportunity for Stone1492,2000,1511,2417600
Opportunity for Thomas279,550,709,354500
Opportunity for Dawson434,150,309,37080
Opportunity for Pearson288,650,1987,993500
Opportunity for Francis147,800,1942,1165200
Opportunity for Henry1658,450,1456,327600
Opportunity for Gross1521,650,83,41500
Opportunity for Higgins1147,100,1142,102780
Opportunity for Rhodes1171,60,1176,58800
Opportunity for Fernandez851,100,625,56250
Opportunity for Herrera603,650,724,362000
Opportunity for Shaw336,800,526,315600
Opportunity for Doyle126,1600,82,114800
Opportunity for Jimenez15,550,134,67000
Opportunity for Stokes949,2000,1697,2715200
Opportunity for Neal1804,60,1394,69700
Opportunity for Mann1985,60,938,46900
Opportunity for McKenzie881,1400,1345,1681250
Opportunity for Wood9,50,1892,75680
Opportunity for Phelps1180,50,1300,52000
Opportunity for Stokes556,150,120,14400
Opportunity for Dawson1776,2000,822,1315200
Opportunity for Gregory1240,1400,1722,2152500
Opportunity for Montgomery1950,1400,560,700000
Opportunity for Houston1041,40,1148,40180
Opportunity for Edwards1283,1200,1514,1665400
Opportunity for Page1169,1600,1193,1670200
Opportunity for Burke1881,1000,1853,1575050
Opportunity for Richardson241,800,1735,1041000
Opportunity for Fox834,1600,1858,2601200
Opportunity for Bennett1248,150,1327,159240
Opportunity for Waters1188,150,1408,168960
Opportunity for Francis1063,100,1844,165960
Opportunity for Neal80,50,1244,49760
Opportunity for Castro469,2000,1619,2590400
Opportunity for Wood1474,150,265,31800
Opportunity for McCarthy1678,450,1261,283725
Opportunity for Gordon872,550,579,289500
Opportunity for Harrington1580,2000,1775,2840000
Opportunity for Luna1104,60,1206,60300
Opportunity for Ramsey1863,1200,1243,1367300
Opportunity for McDaniel65,800,510,306000
Opportunity for Spencer1690,1400,87,108750
Opportunity for Lynch922,300,1928,385600
Opportunity for Robinson1085,1400,894,1117500
Opportunity for Daniel1888,1600,989,1384600
Opportunity for Andrews1118,550,934,467000
Opportunity for Potter503,2000,490,784000
Opportunity for McCoy365,150,735,88200
Opportunity for Singleton1620,300,1634,326800
Opportunity for Schneider651,50,1534,61360
Opportunity for Sullivan863,1400,1462,1827500
Opportunity for Mathis1595,1000,403,342550
Opportunity for Ray262,1000,231,196350
Opportunity for Long1462,650,645,322500
Opportunity for Harper1957,500,842,421000
Opportunity for Parsons1664,450,1340,301500
Opportunity for Kim230,650,21,10500
Opportunity for Martin1417,2000,773,1236800
Opportunity for Gill1476,550,1500,750000
Opportunity for Blake106,2000,1919,3070400
Opportunity for Thomas535,50,1004,40160
Opportunity for Barton1587,100,723,65070
Opportunity for Baker1232,50,506,20240
Opportunity for Reynolds428,300,420,84000
Opportunity for Cruz1693,650,642,321000
Opportunity for Reeves721,50,668,26720
Opportunity for Norman1354,550,712,356000
Opportunity for Kim230,60,1755,87750
Opportunity for Torres803,100,811,72990
Opportunity for Grant1452,1400,582,727500
Opportunity for Willis864,1200,857,942700
Opportunity for Burgess1578,2000,1359,2174400
Opportunity for Ingram270,1400,83,103750
Opportunity for McGee320,600,1594,637600
Opportunity for Leonard425,60,1975,98750
Opportunity for Bates1547,1400,1923,2403750
Opportunity for Cannon1361,1400,1080,1350000
Opportunity for Cunningham1976,500,488,244000
Opportunity for Morales980,550,1609,804500
Opportunity for Williams149,550,669,334500
Opportunity for Montgomery1950,60,1841,92050
Opportunity for Dixon1405,550,1288,644000
Opportunity for Simon572,50,248,9920
Opportunity for Mack545,150,109,13080
Opportunity for Webb1055,50,211,8440
Opportunity for Bowers1284,100,1287,115830
Opportunity for Nelson1089,50,1559,62360
Opportunity for Dixon1786,550,1726,863000
Opportunity for Morales1660,40,1933,67655
Opportunity for Murray1537,60,332,16600
Opportunity for Pope122,500,234,117000
Opportunity for Kennedy1017,550,297,148500
Opportunity for Medina1844,1600,981,1373400
Opportunity for Gray95,1600,1952,2732800
Opportunity for Romero1667,1400,678,847500
Opportunity for Phillips801,1600,323,452200
Opportunity for Bennett62,450,571,128475
Opportunity for Rodgers132,50,339,13560
Opportunity for Hamilton810,550,60,30000
Opportunity for Nash1178,500,704,352000
Opportunity for Nichols74,1400,1727,2158750
Opportunity for Rhodes1171,150,1493,179160
Opportunity for Zimmerman1520,650,1148,574000
Opportunity for Mann762,150,1168,140160
Opportunity for Chandler1439,800,1056,633600
Opportunity for Walsh1003,100,194,17460
Opportunity for Meyer663,50,440,17600
Opportunity for Rogers1156,150,887,106440
Opportunity for Gross818,800,1835,1101000
Opportunity for Rowe98,550,1044,522000
Opportunity for Simpson729,1400,1065,1331250
Opportunity for Barrett1639,2000,1526,2441600
Opportunity for Patton847,1400,1468,1835000
Opportunity for Abbott992,550,906,453000
Opportunity for Underwood1745,800,203,121800
Opportunity for Conner20,50,460,18400
Opportunity for Wallace1161,450,793,178425
Opportunity for Cobb427,50,143,5720
Opportunity for Nelson1799,800,1191,714600
Opportunity for Quinn1941,100,1711,153990
Opportunity for Morrison1784,1600,183,256200
Opportunity for Barton1753,1000,560,476000
Opportunity for Powell769,2000,1471,2353600
Opportunity for Holt1480,1200,1392,1531200
Opportunity for Hoffman1037,2000,1859,2974400
Opportunity for Ruiz604,2000,1338,2140800
Opportunity for Wells354,550,983,491500
Opportunity for Summers752,450,1408,316800
Opportunity for Vaughn1113,1600,622,870800
Opportunity for Klein1200,150,1411,169320
Opportunity for Santiago1997,2000,837,1339200
Opportunity for Jefferson638,50,1579,63160
Opportunity for Parsons1298,1000,1048,890800
Opportunity for Pierce737,40,315,11025
Opportunity for Rice1187,300,1307,261400
Opportunity for Cobb1406,500,1604,802000
Opportunity for Miller1524,60,334,16700
Opportunity for Rodriquez1114,550,670,335000
Opportunity for Jordan57,550,21,10500
Opportunity for Johnston49,1400,170,212500
Opportunity for Christensen684,450,874,196650
Opportunity for Hill1534,550,1139,569500
Opportunity for Edwards1283,300,1719,343800
Opportunity for Perez1775,1600,1037,1451800
Opportunity for Newman266,1400,2000,2500000
Opportunity for Gardner1632,550,39,19500
Opportunity for Woods100,1400,1620,2025000
Opportunity for Daniel875,50,410,16400
Opportunity for Bennett1248,100,1161,104490
Opportunity for Gill1168,650,1324,662000
Opportunity for Woods909,2000,1731,2769600
Opportunity for McKenzie1898,50,849,33960
Opportunity for Barker446,1600,361,505400
Opportunity for Underwood1745,1200,981,1079100
Opportunity for Porter410,1600,991,1387400
Opportunity for Martinez1527,800,629,377400
Opportunity for Newman1861,2000,601,961600
Opportunity for Weber392,1400,445,556250
Opportunity for Malone772,150,49,5880
Opportunity for Mullins1568,100,1368,123120
Opportunity for Perez1411,40,1278,44730
Opportunity for Bridges657,60,864,43200
Opportunity for Franklin997,550,290,145000
Opportunity for Lawson1843,1400,1251,1563750
Opportunity for Sanchez639,100,1535,138150
Opportunity for Sherman525,1200,849,933900
Opportunity for Lloyd988,1600,1578,2209200
Opportunity for Blake106,450,1533,344925
Opportunity for Alexander954,550,1555,777500
Opportunity for McDaniel1873,1400,1938,2422500
Opportunity for Schwartz628,800,159,95400
Opportunity for McKenzie412,1000,1315,1117750
Opportunity for Banks1038,50,607,24280
Opportunity for Glover1974,50,326,13040
Opportunity for Flowers466,150,1037,124440
Opportunity for Moran1134,50,24,960
Opportunity for Gomez1357,1400,1101,1376250
Opportunity for Johnson1707,550,1321,660500
Opportunity for Dennis1773,150,1850,222000
Opportunity for Barton1764,1400,1213,1516250
Opportunity for Jefferson416,300,1080,216000
Opportunity for Rodriquez294,100,1494,134460
Opportunity for Lamb1467,550,1919,959500
Opportunity for Lamb1286,60,1132,56600
Opportunity for Stevenson670,1200,1221,1343100
Opportunity for Bridges1649,50,138,5520
Opportunity for Conner1442,550,781,390500
Opportunity for Walters765,550,1104,552000
Opportunity for Smith1145,650,1907,953500
Opportunity for Mack883,1400,387,483750
Opportunity for Campbell1166,60,135,6750
Opportunity for Payne1774,600,1353,541200
Opportunity for Smith309,1400,1530,1912500
Opportunity for Osborne1612,500,255,127500
Opportunity for Peterson1536,2000,17,27200
Opportunity for Morris829,60,1278,63900
Opportunity for Chandler1281,1200,1550,1705000
Opportunity for Paul763,1000,1623,1379550
Opportunity for Love1426,600,1735,694000
Opportunity for Garner1190,150,1655,198600
Opportunity for Cannon1361,60,1581,79050
Opportunity for McCormick1685,50,409,16360
Opportunity for Martinez596,40,1677,58695
Opportunity for Edwards1049,2000,1057,1691200
Opportunity for Chandler1439,300,231,46200
Opportunity for Wade743,100,1047,94230
Opportunity for Thomas1024,60,1841,92050
Opportunity for Stewart887,1400,1381,1726250
Opportunity for May1176,550,1456,728000
Opportunity for Singleton1321,1000,467,396950
Opportunity for Sims7,500,1812,906000
Opportunity for Greer1,60,1809,90450
Opportunity for McCarthy99,450,29,6525
Opportunity for Lowe792,450,417,93825
Opportunity for Zimmerman1495,50,1771,70840
Opportunity for Parsons66,1600,850,1190000
Opportunity for Morris829,1600,1925,2695000
Opportunity for Butler235,600,852,340800
Opportunity for Todd1900,500,1591,795500
Opportunity for Lee858,550,785,392500
Opportunity for Barker165,1200,1017,1118700
Opportunity for Jefferson1155,1200,1466,1612600
Opportunity for Cruz838,50,1862,74480
Opportunity for Horton1509,60,1102,55100
Opportunity for Cunningham1976,450,843,189675
Opportunity for Peters194,1600,1066,1492400
Opportunity for Snyder164,1200,11,12100
Opportunity for Wilkins391,1400,1038,1297500
Opportunity for Flowers1940,650,582,291000
Opportunity for Joseph1936,50,520,20800
Opportunity for Bowers595,800,1091,654600
Opportunity for Fowler577,600,903,361200
Opportunity for Phelps967,2000,401,641600
Opportunity for Douglas403,450,117,26325
Opportunity for Burns1830,60,1026,51300
Opportunity for Christensen684,1400,50,62500
Opportunity for Lambert182,2000,948,1516800
Opportunity for Wade966,550,839,419500
Opportunity for Bass1137,1400,701,876250
Opportunity for Newton773,100,1904,171360
Opportunity for Flowers1940,550,1873,936500
Opportunity for French955,1400,1961,2451250
Opportunity for Holmes1012,800,1756,1053600
Opportunity for Barrett259,150,1392,167040
Opportunity for Washington1383,500,224,112000
Opportunity for Nichols171,40,1532,53620
Opportunity for Erickson659,1200,338,371800
Opportunity for Reynolds188,300,681,136200
Opportunity for Tate775,100,346,31140
Opportunity for Gibbs1874,800,1232,739200
Opportunity for Daniel1778,550,1767,883500
Opportunity for Collins1770,50,385,15400
Opportunity for Pearson374,800,104,62400
Opportunity for Herrera948,150,1744,209280
Opportunity for Gross21,300,770,154000
Opportunity for Shaw1337,1600,443,620200
Opportunity for Wolfe84,60,443,22150
Opportunity for Hart1577,1600,937,1311800
Opportunity for Gill530,60,483,24150
Opportunity for Watkins1701,550,829,414500
Opportunity for Jimenez1850,50,53,2120
Opportunity for Miles1094,50,1942,77680
Opportunity for Lloyd1640,550,72,36000
Opportunity for Vega154,50,498,19920
Opportunity for Becker221,150,1619,194280
Opportunity for Banks804,150,1261,151320
Opportunity for Holloway633,50,800,32000
Opportunity for Rogers1558,650,917,458500
Opportunity for Lewis1160,1000,1009,857650
Opportunity for Shaw178,50,75,3000
Opportunity for Gomez846,50,225,9000
Opportunity for Arnold464,1400,644,805000
Opportunity for Ramos63,450,1981,445725
Opportunity for Burgess1578,1000,298,253300
Opportunity for Bryan1264,550,1163,581500
Opportunity for Moss58,2000,1396,2233600
Opportunity for Fowler577,40,1466,51310
Opportunity for Osborne1208,1000,319,271150
Opportunity for Chandler133,550,1486,743000
Opportunity for Morgan93,50,807,32280
Opportunity for Malone741,1600,1456,2038400
Opportunity for Wolfe608,150,663,79560
Opportunity for Byrd307,150,1518,182160
Opportunity for Copeland46,50,1316,52640
Opportunity for Washington827,1200,160,176000
Opportunity for Thomas1596,600,99,39600
Opportunity for Lowe792,1600,1385,1939000
Opportunity for Reynolds330,100,1143,102870
Opportunity for Robbins1443,550,823,411500
Opportunity for Wright926,1400,571,713750
Opportunity for Nash605,2000,1105,1768000
Opportunity for Harrington373,50,556,22240
Opportunity for Andrews739,60,377,18850
Opportunity for Kelley1593,550,819,409500
Opportunity for Blake1819,550,1702,851000
Opportunity for Ryan1382,550,966,483000
Opportunity for Adams42,650,503,251500
Opportunity for Schwartz628,500,360,180000
Opportunity for Young1227,1400,647,808750
Opportunity for Ryan295,650,555,277500
Opportunity for Nichols171,100,929,83610
Opportunity for Malone741,550,833,416500
Opportunity for Willis238,1400,765,956250
Opportunity for Hill1534,1400,188,235000
Opportunity for Singleton1620,650,108,54000
Opportunity for Bowman888,1400,1603,2003750
Opportunity for Wagner150,1000,756,642600
Opportunity for Pierce248,1400,1787,2233750
Opportunity for Lawrence1822,1200,1939,2132900
Opportunity for Sandoval159,100,1592,143280
Opportunity for Bates1493,800,683,409800
Opportunity for Ray1381,550,1750,875000
Opportunity for Carroll233,1200,1313,1444300
Opportunity for Morales81,500,1373,686500
Opportunity for Schneider73,300,485,97000
Opportunity for Douglas403,150,416,49920
Opportunity for Barrett1639,800,1006,603600
Opportunity for Medina118,50,1450,58000
Opportunity for Cunningham175,500,1182,591000
Opportunity for Spencer654,150,1497,179640
Opportunity for Herrera603,550,1498,749000
Opportunity for Curtis592,1000,1266,1076100
Opportunity for Norman145,1200,556,611600
Opportunity for Black67,50,819,32760
Opportunity for Pope1093,1000,1023,869550
Opportunity for Elliott770,2000,404,646400
Opportunity for Ingram919,450,1627,366075
Opportunity for Schultz195,550,1531,765500
Opportunity for Hernandez874,1000,1648,1400800
Opportunity for Rodriquez1114,600,373,149200
Opportunity for Carpenter1221,1000,1491,1267350
Opportunity for Bishop850,50,1212,48480
Opportunity for Rodriquez1114,1200,107,117700
Opportunity for McGuire615,550,1812,906000
Opportunity for Maldonado805,60,279,13950
Opportunity for Willis686,150,320,38400
Opportunity for Hall1897,550,1286,643000
Opportunity for McDaniel1873,550,868,434000
Opportunity for Perkins1263,150,1648,197760
Opportunity for Haynes338,1400,1130,1412500
Opportunity for Griffith1840,150,427,51240
Opportunity for Holt1880,50,989,39560
Opportunity for Franklin519,100,1178,106020
Opportunity for Allison1432,40,1480,51800
Opportunity for Santiago36,1400,185,231250
Opportunity for Conner1442,50,1479,59160
Opportunity for Mullins1568,1000,313,266050
Opportunity for Osborne613,50,1613,64520
Opportunity for Ramirez1767,50,86,3440
Opportunity for Howard1193,550,1112,556000
Opportunity for Hughes679,150,821,98520
Opportunity for Larson1945,40,1441,50435
Opportunity for Christensen1429,1200,214,235400
Opportunity for Nelson1089,1400,1086,1357500
Opportunity for Walsh1003,150,107,12840
Opportunity for Huff45,100,1132,101880
Opportunity for Hawkins1574,1000,1539,1308150
Opportunity for Adams42,150,52,6240
Opportunity for Wood1594,450,353,79425
Opportunity for Williams149,1600,941,1317400
Opportunity for Schneider1231,100,613,55170
Opportunity for Henry479,1200,1254,1379400
Opportunity for Brown672,650,1389,694500
Opportunity for Clayton375,800,934,560400
Opportunity for Cook1618,100,1633,146970
Opportunity for Johnson217,650,963,481500
Opportunity for Bass1137,800,1396,837600
Opportunity for Craig1516,1000,1087,923950
Opportunity for Fitzgerald1029,60,1026,51300
Opportunity for Chandler755,150,1393,167160
Opportunity for Morton591,2000,1068,1708800
Opportunity for Mills123,1000,934,793900
Opportunity for Duncan873,60,1430,71500
